Date,Open,High,Low,Close,Adj Close,Volume,feature1,feature2,feature3,feature4,feature5
4/24/2023,20.15,20.41,19.809999,19.93,19.93,2742400,0.0,0.0,0.0,0.0,0.0
4/25/2023,19.74,20.040001,18.91,19.0,19.0,2560800,0.0,0.0,0.0,0.0,0.0
4/26/2023,18.98,19.23,18.65,18.65,18.65,2287600,0.0,0.0,0.0,0.0,0.0
4/27/2023,18.75,19.34,18.719999,18.940001,18.940001,2238900,0.0,0.0,0.0,0.0,0.0
4/28/2023,18.92,19.719999,18.879999,19.290001,19.290001,2835200,0.0,0.0,0.0,0.0,0.0
5/1/2023,19.16,19.25,18.459999,18.549999,18.549999,2356600,0.0,0.0,0.0,0.0,0.0
5/2/2023,18.450001,18.58,18.059999,18.58,18.58,1918300,0.0,0.0,0.0,0.0,0.0
5/3/2023,18.559999,19.200001,18.530001,18.9,18.9,3184000,0.0,0.0,0.0,0.0,0.0
5/4/2023,19.25,19.48,18.92,19.35,19.35,2041800,0.0,0.0,0.0,0.0,0.0
5/5/2023,19.620001,20.879999,19.51,20.42,20.42,4353700,0.0,0.0,0.0,0.0,0.0
5/8/2023,20.459999,20.99,20.09,20.51,20.51,2402800,0.0,0.0,0.0,0.0,0.0
5/9/2023,20.16,20.65,20.120001,20.24,20.24,1522700,0.0,0.0,0.0,0.0,0.0
5/10/2023,20.450001,20.959999,20.379999,20.76,20.76,2139900,0.0,0.0,0.0,0.0,0.0
5/11/2023,20.690001,21.16,20.51,20.879999,20.879999,1652500,0.0,0.0,0.0,0.0,0.0
5/12/2023,20.83,20.98,20.23,20.690001,20.690001,2003900,0.0,0.0,0.0,0.0,0.0
5/15/2023,20.620001,21.629999,20.49,21.620001,21.620001,2602000,0.0,0.0,0.0,0.0,0.0
5/16/2023,21.5,22.1,21.42,21.99,21.99,2498000,0.0,0.0,0.0,0.0,0.0
5/17/2023,21.99,23.25,21.9,22.870001,22.870001,4573000,0.0,0.0,0.0,0.0,0.0
5/18/2023,22.9,23.299999,22.68,23.049999,23.049999,2144400,0.0,0.0,0.0,0.0,0.0
5/19/2023,22.940001,22.99,21.75,22.059999,22.059999,2665900,0.0,0.0,0.0,0.0,0.0
5/22/2023,22.1,24.360001,21.99,24.209999,24.209999,6251600,0.0,0.0,0.0,0.0,0.0
5/23/2023,23.889999,23.9,22.799999,23.16,23.16,3786500,0.0,0.0,0.0,0.0,0.0
5/24/2023,23.129999,23.52,22.73,23.27,23.27,1901000,0.0,0.0,0.0,0.0,0.0
5/25/2023,23.5,23.690001,22.709999,23.35,23.35,2494400,0.0,0.0,0.0,0.0,0.0
5/26/2023,23.469999,23.709999,23.059999,23.25,23.25,2261900,0.0,0.0,0.0,0.0,0.0
5/30/2023,23.35,24.690001,23.299999,24.57,24.57,5037800,0.0,0.0,0.0,0.0,0.0
5/31/2023,24.51,24.799999,23.879999,24.049999,24.049999,4265200,0.0,0.0,0.0,0.0,0.0
6/1/2023,24.040001,24.66,23.780001,24.1,24.1,3845000,0.0,0.0,0.0,0.0,0.0
6/2/2023,24.290001,24.93,24.280001,24.639999,24.639999,3293100,0.0,0.0,0.0,0.0,0.0
6/5/2023,24.530001,25.84,24.16,24.309999,24.309999,4201900,0.0,0.0,0.0,0.0,0.0
6/6/2023,24.01,25.25,24.0,24.690001,24.690001,3984300,0.0,0.0,0.0,0.0,0.0
6/7/2023,26.200001,26.549999,25.07,26.110001,26.110001,18001100,0.0,0.0,0.0,0.0,0.0
6/8/2023,20.299999,22.0,20.1,21.440001,21.440001,19213300,0.0,0.0,0.0,0.0,0.0
6/9/2023,21.780001,23.43,21.5,22.68,22.68,10321200,0.0,0.0,0.0,0.0,0.0
6/12/2023,22.85,24.299999,22.74,24.299999,24.299999,7131400,0.0,0.0,0.0,0.0,0.0
6/13/2023,26.200001,27.65,25.030001,26.950001,26.950001,17160600,0.0,0.0,0.0,0.0,0.0
6/14/2023,26.719999,27.08,24.9,25.700001,25.700001,7243700,0.0,0.0,0.0,0.0,0.0
6/15/2023,25.41,26.17,24.639999,24.84,24.84,5501800,0.0,0.0,0.0,0.0,0.0
6/16/2023,25.02,25.110001,24.42,24.559999,24.559999,4427000,0.0,0.0,0.0,0.0,0.0
6/20/2023,24.41,24.65,23.719999,24.58,24.58,3250700,0.0,0.0,0.0,0.0,0.0
6/21/2023,24.84,25.1,24.1,24.43,24.43,2404700,0.0,0.0,0.0,0.0,0.0
6/22/2023,24.129999,24.33,23.76,24.32,24.32,1889600,0.0,0.0,0.0,0.0,0.0
6/23/2023,23.780001,24.15,23.68,23.700001,23.700001,2230800,0.0,0.0,0.0,0.0,0.0
6/26/2023,23.379999,24.030001,22.91,23.02,23.02,2525200,0.0,0.0,0.0,0.0,0.0
6/27/2023,23.290001,23.6,23.0,23.58,23.58,2141500,0.0,0.0,0.0,0.0,0.0
6/28/2023,23.440001,25.1,23.4,24.98,24.98,3493900,0.0,0.0,0.0,0.0,0.0
6/29/2023,24.959999,25.469999,24.620001,24.9,24.9,3101000,0.0,0.0,0.0,0.0,0.0
6/30/2023,24.969999,25.129999,24.25,24.25,24.25,2797500,0.0,0.0,0.0,0.0,0.0
7/3/2023,24.290001,25.110001,24.209999,24.91,24.91,1806600,0.0,0.0,0.0,0.0,0.0
7/5/2023,24.639999,24.85,23.790001,23.9,23.9,2263100,0.0,0.0,0.0,0.0,0.0
7/6/2023,23.52,23.57,22.82,22.83,22.83,2384600,0.0,0.0,0.0,0.0,0.0
7/7/2023,22.969999,23.530001,22.67,22.709999,22.709999,2439600,0.0,0.0,0.0,0.0,0.0
7/10/2023,22.610001,23.559999,22.0,23.540001,23.540001,3318200,0.0,0.0,0.0,0.0,0.0
7/11/2023,23.200001,24.440001,23.200001,23.91,23.91,3063500,0.0,0.0,0.0,0.0,0.0
7/12/2023,24.25,24.309999,23.440001,23.440001,23.440001,1742200,0.0,0.0,0.0,0.0,0.0
7/13/2023,23.540001,23.98,23.42,23.459999,23.459999,1912200,0.0,0.0,0.0,0.0,0.0
7/14/2023,23.49,23.719999,22.940001,22.969999,22.969999,2175300,0.0,0.0,0.0,0.0,0.0
7/17/2023,22.879999,23.309999,22.700001,22.82,22.82,2026000,0.0,0.0,0.0,0.0,0.0
7/18/2023,22.719999,23.799999,22.68,23.08,23.08,2345100,0.0,0.0,0.0,0.0,0.0
7/19/2023,23.42,23.58,22.959999,23.17,23.17,2250100,0.0,0.0,0.0,0.0,0.0
7/20/2023,23.01,23.219999,22.66,22.91,22.91,2256700,0.0,0.0,0.0,0.0,0.0
7/21/2023,23.049999,23.219999,22.16,22.18,22.18,3134100,0.0,0.0,0.0,0.0,0.0
7/24/2023,22.42,23.040001,22.200001,23.040001,23.040001,2970400,0.0,0.0,0.0,0.0,0.0
7/25/2023,23.1,23.1,22.530001,22.85,22.85,1672000,0.0,0.0,0.0,0.0,0.0
7/26/2023,22.700001,22.99,22.48,22.700001,22.700001,1489200,0.0,0.0,0.0,0.0,0.0
7/27/2023,22.940001,23.49,22.129999,22.219999,22.219999,3370900,0.0,0.0,0.0,0.0,0.0
7/28/2023,22.02,22.49,21.790001,21.93,21.93,2642100,0.0,0.0,0.0,0.0,0.0
7/31/2023,22.0,22.379999,21.85,22.200001,22.200001,1973400,0.0,0.0,0.0,0.0,0.0
8/1/2023,21.950001,22.0,21.26,21.5,21.5,2567100,0.0,0.0,0.0,0.0,0.0
8/2/2023,21.15,21.15,20.34,20.83,20.83,2625800,0.0,0.0,0.0,0.0,0.0
8/3/2023,20.879999,21.18,20.74,20.93,20.93,1318700,0.0,0.0,0.0,0.0,0.0
8/4/2023,20.950001,21.889999,20.889999,20.98,20.98,2400500,0.0,0.0,0.0,0.0,0.0
8/7/2023,20.9,21.24,20.48,21.07,21.07,1441300,0.0,0.0,0.0,0.0,0.0
8/8/2023,20.700001,20.9,20.280001,20.74,20.74,1431300,0.0,0.0,0.0,0.0,0.0
8/9/2023,20.85,20.85,19.82,19.93,19.93,2929600,0.0,0.0,0.0,0.0,0.0
8/10/2023,20.0,20.290001,19.870001,20.190001,20.190001,1432400,0.0,0.0,0.0,0.0,0.0
8/11/2023,20.030001,20.379999,19.969999,20.190001,20.190001,1500200,0.0,0.0,0.0,0.0,0.0
8/14/2023,19.75,20.01,19.08,19.959999,19.959999,3329300,0.0,0.0,0.0,0.0,0.0
8/15/2023,19.77,19.780001,19.09,19.33,19.33,2290300,0.0,0.0,0.0,0.0,0.0
8/16/2023,19.18,19.34,18.549999,18.59,18.59,3015600,0.0,0.0,0.0,0.0,0.0
