Symbol,Date,Open,High,Low,Close,Adj Close,Volume
GOOG,4/24/2023,106.050003,107.32,105.360001,106.779999,106.779999,21410900
GOOG,4/25/2023,106.610001,107.440002,104.559998,104.610001,104.610001,31408100
GOOG,4/26/2023,105.559998,107.019997,103.269997,104.449997,104.449997,37068200
GOOG,4/27/2023,105.230003,109.150002,104.419998,108.370003,108.370003,38235200
GOOG,4/28/2023,107.800003,108.290001,106.040001,108.220001,108.220001,23957900
GOOG,5/1/2023,107.720001,108.68,107.5,107.709999,107.709999,20926300
GOOG,5/2/2023,107.660004,107.730003,104.5,105.980003,105.980003,20343100
GOOG,5/3/2023,106.220001,108.129997,105.620003,106.120003,106.120003,17116300
GOOG,5/4/2023,106.160004,106.300003,104.699997,105.209999,105.209999,19780600
GOOG,5/5/2023,105.32,106.440002,104.738998,106.214996,106.214996,20705300
GOOG,5/8/2023,105.794998,108.419998,105.790001,108.239998,108.239998,17266000
GOOG,5/9/2023,108.779999,110.595001,107.724998,107.940002,107.940002,24782400
GOOG,5/10/2023,108.550003,113.510002,108.480003,112.279999,112.279999,47533500
GOOG,5/11/2023,115.860001,118.440002,114.93,116.900002,116.900002,57115100
GOOG,5/12/2023,117,118.260002,116.550003,117.919998,117.919998,31272500
GOOG,5/15/2023,116.489998,118.794998,116.480003,116.959999,116.959999,22107900
GOOG,5/16/2023,116.830002,121.199997,116.830002,120.089996,120.089996,32370100
GOOG,5/17/2023,120.18,122.279999,119.459999,121.480003,121.480003,26659600
GOOG,5/18/2023,121.559998,123.900002,121.489998,123.519997,123.519997,27014500
GOOG,5/19/2023,124.199997,126.478996,122.720001,123.25,123.25,30251300
GOOG,5/22/2023,123.510002,127.050003,123.449997,125.870003,125.870003,29760200
GOOG,5/23/2023,124.93,125.419998,123.050003,123.290001,123.290001,24477900
GOOG,5/24/2023,121.879997,122.75,120.75,121.639999,121.639999,23087900
GOOG,5/25/2023,125.209999,125.980003,122.900002,124.349998,124.349998,33812700
GOOG,5/26/2023,124.065002,126,123.290001,125.43,125.43,25154700
GOOG,5/30/2023,126.290001,126.379997,122.889999,124.639999,124.639999,27230700
GOOG,5/31/2023,123.699997,124.900002,123.099998,123.370003,123.370003,41548800
GOOG,6/1/2023,123.5,125.040001,123.300003,124.370003,124.370003,25017700
GOOG,6/2/2023,124.489998,126.745003,124.349998,125.230003,125.230003,19362400
GOOG,6/5/2023,124.610001,127.989998,124.379997,126.629997,126.629997,22672500
GOOG,6/6/2023,126.599998,128.880005,125.970001,127.910004,127.910004,19450100
GOOG,6/7/2023,127.574997,129.550003,122.629997,122.940002,122.940002,34179300
GOOG,6/8/2023,122.584999,123.730003,122.010002,122.669998,122.669998,24815000
