Date,Open,High,Low,Close,Adj Close,Volume,feature1,feature2,feature3,feature4,feature5
4/24/2023,165.0,165.600006,163.889999,165.330002,164.452209,41949600,0.0,0.0,0.0,0.0,0.0
4/25/2023,165.190002,166.309998,163.729996,163.770004,162.900497,48714100,0.0,0.0,0.0,0.0,0.0
4/26/2023,163.059998,165.279999,162.800003,163.759995,162.890533,45498800,0.0,0.0,0.0,0.0,0.0
4/27/2023,165.190002,168.559998,165.190002,168.410004,167.515839,64902300,0.0,0.0,0.0,0.0,0.0
4/28/2023,168.490005,169.850006,167.880005,169.679993,168.779099,55209200,0.0,0.0,0.0,0.0,0.0
5/1/2023,169.279999,170.449997,168.639999,169.589996,168.68959,52472900,0.0,0.0,0.0,0.0,0.0
5/2/2023,170.089996,170.350006,167.539993,168.539993,167.645172,48425700,0.0,0.0,0.0,0.0,0.0
5/3/2023,169.5,170.919998,167.160004,167.449997,166.560959,65136000,0.0,0.0,0.0,0.0,0.0
5/4/2023,164.889999,167.039993,164.309998,165.789993,164.909744,81235400,0.0,0.0,0.0,0.0,0.0
5/5/2023,170.979996,174.300003,170.759995,173.570007,172.648468,113316400,0.0,0.0,0.0,0.0,0.0
5/8/2023,172.479996,173.850006,172.110001,173.5,172.578812,55962800,0.0,0.0,0.0,0.0,0.0
5/9/2023,173.050003,173.539993,171.600006,171.770004,170.858017,45326900,0.0,0.0,0.0,0.0,0.0
5/10/2023,173.020004,174.029999,171.899994,173.559998,172.638504,53724500,0.0,0.0,0.0,0.0,0.0
5/11/2023,173.850006,174.589996,172.169998,173.75,172.827499,49514700,0.0,0.0,0.0,0.0,0.0
5/12/2023,173.619995,174.059998,171.0,172.570007,171.891205,45497800,0.0,0.0,0.0,0.0,0.0
5/15/2023,173.160004,173.210007,171.470001,172.070007,171.393173,37266700,0.0,0.0,0.0,0.0,0.0
5/16/2023,171.990005,173.139999,171.800003,172.070007,171.393173,42110300,0.0,0.0,0.0,0.0,0.0
5/17/2023,171.710007,172.929993,170.419998,172.690002,172.010727,57951600,0.0,0.0,0.0,0.0,0.0
5/18/2023,173.0,175.240005,172.580002,175.050003,174.361435,65496700,0.0,0.0,0.0,0.0,0.0
5/19/2023,176.389999,176.389999,174.940002,175.160004,174.471024,55772400,0.0,0.0,0.0,0.0,0.0
5/22/2023,173.979996,174.710007,173.449997,174.199997,173.514771,43570900,0.0,0.0,0.0,0.0,0.0
5/23/2023,173.130005,173.380005,171.279999,171.559998,170.885162,50747300,0.0,0.0,0.0,0.0,0.0
5/24/2023,171.089996,172.419998,170.520004,171.839996,171.164063,45143500,0.0,0.0,0.0,0.0,0.0
5/25/2023,172.410004,173.899994,171.690002,172.990005,172.309555,56058300,0.0,0.0,0.0,0.0,0.0
5/26/2023,173.320007,175.770004,173.110001,175.429993,174.739944,54835000,0.0,0.0,0.0,0.0,0.0
5/30/2023,176.960007,178.990005,176.570007,177.300003,176.6026,55964400,0.0,0.0,0.0,0.0,0.0
5/31/2023,177.330002,179.350006,176.759995,177.25,176.55278,99625300,0.0,0.0,0.0,0.0,0.0
6/1/2023,177.699997,180.119995,176.929993,180.089996,179.381607,68901800,0.0,0.0,0.0,0.0,0.0
6/2/2023,181.029999,181.779999,179.259995,180.949997,180.23822,61945900,0.0,0.0,0.0,0.0,0.0
6/5/2023,182.630005,184.949997,178.039993,179.580002,178.873627,121946500,0.0,0.0,0.0,0.0,0.0
6/6/2023,179.970001,180.119995,177.429993,179.210007,178.505081,64848400,0.0,0.0,0.0,0.0,0.0
6/7/2023,178.440002,181.210007,177.320007,177.820007,177.12056,61944600,0.0,0.0,0.0,0.0,0.0
6/8/2023,177.899994,180.839996,177.460007,180.570007,179.859741,50214900,0.0,0.0,0.0,0.0,0.0
6/9/2023,181.5,182.229996,180.630005,180.960007,180.248184,48870700,0.0,0.0,0.0,0.0,0.0
6/12/2023,181.270004,183.889999,180.970001,183.789993,183.067062,54274900,0.0,0.0,0.0,0.0,0.0
6/13/2023,182.800003,184.149994,182.440002,183.309998,182.588943,54929100,0.0,0.0,0.0,0.0,0.0
6/14/2023,183.369995,184.389999,182.020004,183.949997,183.22644,57462900,0.0,0.0,0.0,0.0,0.0
6/15/2023,183.960007,186.520004,183.779999,186.009995,185.27832,65433200,0.0,0.0,0.0,0.0,0.0
6/16/2023,186.729996,186.990005,184.270004,184.919998,184.192612,101235600,0.0,0.0,0.0,0.0,0.0
6/20/2023,184.410004,186.100006,184.410004,185.009995,184.282257,49799100,0.0,0.0,0.0,0.0,0.0
6/21/2023,184.899994,185.410004,182.589996,183.960007,183.236404,49515700,0.0,0.0,0.0,0.0,0.0
6/22/2023,183.740005,187.050003,183.669998,187.0,186.264435,51245300,0.0,0.0,0.0,0.0,0.0
6/23/2023,185.550003,187.559998,185.009995,186.679993,185.945694,53079300,0.0,0.0,0.0,0.0,0.0
6/26/2023,186.830002,188.050003,185.229996,185.270004,184.541229,48088700,0.0,0.0,0.0,0.0,0.0
6/27/2023,185.889999,188.389999,185.669998,188.059998,187.320251,50730800,0.0,0.0,0.0,0.0,0.0
6/28/2023,187.929993,189.899994,187.600006,189.25,188.505585,51216800,0.0,0.0,0.0,0.0,0.0
6/29/2023,189.080002,190.070007,188.940002,189.589996,188.844254,46347300,0.0,0.0,0.0,0.0,0.0
6/30/2023,191.630005,194.479996,191.259995,193.970001,193.207031,85069600,0.0,0.0,0.0,0.0,0.0
7/3/2023,193.779999,193.880005,191.759995,192.460007,191.702972,31458200,0.0,0.0,0.0,0.0,0.0
7/5/2023,191.570007,192.979996,190.619995,191.330002,190.577393,46920300,0.0,0.0,0.0,0.0,0.0
7/6/2023,189.839996,192.020004,189.199997,191.809998,191.055511,45094300,0.0,0.0,0.0,0.0,0.0
7/7/2023,191.410004,192.669998,190.240005,190.679993,189.929947,46778000,0.0,0.0,0.0,0.0,0.0
7/10/2023,189.259995,189.990005,187.039993,188.610001,187.868103,59922200,0.0,0.0,0.0,0.0,0.0
7/11/2023,189.160004,189.300003,186.600006,188.080002,187.340195,46638100,0.0,0.0,0.0,0.0,0.0
7/12/2023,189.679993,191.699997,188.470001,189.770004,189.023544,60750200,0.0,0.0,0.0,0.0,0.0
7/13/2023,190.5,191.190002,189.779999,190.539993,189.790497,41342300,0.0,0.0,0.0,0.0,0.0
7/14/2023,190.229996,191.179993,189.630005,190.690002,189.939926,41573900,0.0,0.0,0.0,0.0,0.0
7/17/2023,191.899994,194.320007,191.809998,193.990005,193.226944,50520200,0.0,0.0,0.0,0.0,0.0
7/18/2023,193.350006,194.330002,192.419998,193.729996,192.967972,48353800,0.0,0.0,0.0,0.0,0.0
7/19/2023,193.100006,198.229996,192.649994,195.100006,194.332581,80507300,0.0,0.0,0.0,0.0,0.0
7/20/2023,195.089996,196.470001,192.5,193.130005,192.370331,59581200,0.0,0.0,0.0,0.0,0.0
7/21/2023,194.100006,194.970001,191.229996,191.940002,191.184998,71917800,0.0,0.0,0.0,0.0,0.0
7/24/2023,193.410004,194.910004,192.25,192.75,191.991821,45377800,0.0,0.0,0.0,0.0,0.0
7/25/2023,193.330002,194.440002,192.919998,193.619995,192.858383,37283200,0.0,0.0,0.0,0.0,0.0
7/26/2023,193.669998,195.639999,193.320007,194.5,193.734924,47471900,0.0,0.0,0.0,0.0,0.0
7/27/2023,196.020004,197.199997,192.550003,193.220001,192.459976,47460200,0.0,0.0,0.0,0.0,0.0
7/28/2023,194.669998,196.630005,194.139999,195.830002,195.059708,48291400,0.0,0.0,0.0,0.0,0.0
7/31/2023,196.059998,196.490005,195.259995,196.449997,195.677261,38824100,0.0,0.0,0.0,0.0,0.0
8/1/2023,196.240005,196.729996,195.279999,195.610001,194.840576,35175100,0.0,0.0,0.0,0.0,0.0
8/2/2023,195.039993,195.179993,191.850006,192.580002,191.822495,50389300,0.0,0.0,0.0,0.0,0.0
8/3/2023,191.570007,192.369995,190.690002,191.169998,190.41803,61235200,0.0,0.0,0.0,0.0,0.0
8/4/2023,185.520004,187.380005,181.919998,181.990005,181.274155,115799700,0.0,0.0,0.0,0.0,0.0
8/7/2023,182.130005,183.130005,177.350006,178.850006,178.1465,97576100,0.0,0.0,0.0,0.0,0.0
8/8/2023,179.690002,180.270004,177.580002,179.800003,179.092758,67823000,0.0,0.0,0.0,0.0,0.0
8/9/2023,180.869995,180.929993,177.009995,178.190002,177.489105,60378500,0.0,0.0,0.0,0.0,0.0
8/10/2023,179.479996,180.75,177.600006,177.970001,177.269958,54686900,0.0,0.0,0.0,0.0,0.0
8/11/2023,177.320007,178.619995,176.550003,177.789993,177.329788,51988100,0.0,0.0,0.0,0.0,0.0
8/14/2023,177.970001,179.690002,177.309998,179.460007,178.995499,43675600,0.0,0.0,0.0,0.0,0.0
8/15/2023,178.880005,179.479996,177.050003,177.449997,176.990677,43622600,0.0,0.0,0.0,0.0,0.0
8/16/2023,177.130005,178.539993,176.5,176.570007,176.112961,46964900,0.0,0.0,0.0,0.0,0.0
8/17/2023,177.139999,177.509995,173.479996,174.0,173.549622,66062900,0.0,0.0,0.0,0.0,0.0
8/18/2023,172.300003,175.100006,171.960007,174.490005,174.038361,61114200,0.0,0.0,0.0,0.0,0.0
8/21/2023,175.070007,176.130005,173.740005,175.839996,175.384842,46311900,0.0,0.0,0.0,0.0,0.0
8/22/2023,177.059998,177.679993,176.25,177.229996,176.771255,42084200,0.0,0.0,0.0,0.0,0.0
8/23/2023,178.520004,181.550003,178.330002,181.119995,180.651184,52722800,0.0,0.0,0.0,0.0,0.0
8/24/2023,180.669998,181.100006,176.009995,176.380005,175.923462,54945800,0.0,0.0,0.0,0.0,0.0
8/25/2023,177.380005,179.149994,175.820007,178.610001,178.14769,51449600,0.0,0.0,0.0,0.0,0.0
8/28/2023,180.089996,180.589996,178.550003,180.190002,179.723602,43820700,0.0,0.0,0.0,0.0,0.0
8/29/2023,179.699997,184.899994,179.5,184.119995,183.643402,53003900,0.0,0.0,0.0,0.0,0.0
8/30/2023,184.940002,187.850006,184.740005,187.649994,187.164276,60813900,0.0,0.0,0.0,0.0,0.0
8/31/2023,187.839996,189.119995,187.479996,187.869995,187.383698,60794500,0.0,0.0,0.0,0.0,0.0
9/1/2023,189.490005,189.919998,188.279999,189.460007,188.969589,45732600,0.0,0.0,0.0,0.0,0.0
9/5/2023,188.279999,189.979996,187.610001,189.699997,189.208969,45280000,0.0,0.0,0.0,0.0,0.0
9/6/2023,188.399994,188.850006,181.470001,182.910004,182.436539,81755800,0.0,0.0,0.0,0.0,0.0
9/7/2023,175.179993,178.210007,173.539993,177.559998,177.100388,112488800,0.0,0.0,0.0,0.0,0.0
9/8/2023,178.350006,180.240005,177.789993,178.179993,177.718781,65551300,0.0,0.0,0.0,0.0,0.0
9/11/2023,180.070007,180.300003,177.339996,179.360001,178.895737,58953100,0.0,0.0,0.0,0.0,0.0
9/12/2023,179.490005,180.130005,174.820007,176.300003,175.843674,90370200,0.0,0.0,0.0,0.0,0.0
9/13/2023,176.509995,177.300003,173.979996,174.210007,173.759079,84267900,0.0,0.0,0.0,0.0,0.0
9/14/2023,174.0,176.100006,173.580002,175.740005,175.28511,60895800,0.0,0.0,0.0,0.0,0.0
